Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars), _wdire,weather,Visibility (km),PM2.5 concentration (ug/m^3)
9.472222222,0.89,14.1197,1015.13,West,drizzle,15.8263,9
9.355555556,0.86,14.2646,1015.63,North,rain,15.8263,11
9.377777778,0.89,3.9284,1015.94,North,rain,14.9569,8
8.288888889,0.83,14.1036,1016.41,North,rain,15.8263,8
8.755555556,0.83,11.0446,1016.51,North,rain,15.8263,8
9.222222222,0.85,13.9587,1016.66,North,rain,14.9569,10
7.733333333,0.95,12.3648,1016.72,North,rain,9.982,8
8.772222222,0.89,14.1519,1016.84,North,sun,9.982,8
10.82222222,0.82,11.3183,1017.37,North,rain,9.982,3
13.77222222,0.72,12.5258,1017.22,North,rain,9.982,3
16.01666667,0.67,17.5651,1017.42,North,sun,11.2056,3
17.14444444,0.54,19.7869,1017.74,North,sun,11.4471,3
17.8,0.55,21.9443,1017.59,North,sun,11.27,3
17.33333333,0.51,20.6885,1017.48,North,snow,11.27,3
18.87777778,0.47,15.3755,1017.17,SSW,snow,11.4471,3
18.91111111,0.46,10.4006,1016.47,WSW,snow,11.27,12
15.38888889,0.6,14.4095,1016.15,WSW,snow,11.27,11
15.55,0.63,11.1573,1016.17,WSW,snow,11.4471,13
14.25555556,0.69,8.5169,1015.82,West,snow,11.2056,10
13.14444444,0.7,7.6314,1015.83,WSW,snow,11.2056,10
11.55,0.77,7.3899,1015.85,West,rain,11.0285,11
11.18333333,0.76,4.9266,1015.77,West,rain,9.982,10
10.11666667,0.79,6.6493,1015.4,West,rain,15.8263,10
10.2,0.77,3.9284,1015.51,West,rain,14.9569,15
10.42222222,0.62,16.9855,1014.4,NNE,rain,15.8263,5
9.911111111,0.66,17.2109,1014.2,North,rain,15.8263,3
11.18333333,0.8,10.8192,1008.71,North,drizzle,14.9569,3
7.155555556,0.79,11.0768,1014.47,North,rain,15.8263,3
6.111111111,0.82,6.6493,1014.45,North,rain,15.8263,3
6.788888889,0.83,13.0088,1014.49,North,rain,14.9569,8
7.261111111,0.85,11.1734,1014.52,North,rain,6.1985,8
7.8,0.83,12.8156,1014.16,North,rain,8.05,3
9.872222222,0.78,13.7494,1014.24,North,sun,9.982,4
12.22222222,0.72,15.6331,1014.25,North,sun,9.982,4
15.09444444,0.61,17.549,1013.96,North,sun,9.982,5
17.35555556,0.52,22.7815,1013.85,North,sun,9.982,13
19.00555556,0.46,23.8924,1013.04,North,sun,9.982,17
20.04444444,0.4,28.3682,1012.22,North,rain,9.982,24
21.05,0.4,26.9031,1011.44,SW,rain,10.3523,18
21.18333333,0.37,25.6956,1010.52,WSW,rain,9.982,34
20.11666667,0.4,25.3092,1009.83,SW,rain,9.982,42
20.21666667,0.36,18.1125,1009.26,WSW,rain,10.3523,56
20,0.43,23.4255,1008.76,West,rain,9.982,56
17.8,0.5,20.0445,1008.36,West,rain,11.2056,64
16.06111111,0.53,21.3969,1008.11,WSW,rain,9.982,72
15.02222222,0.55,21.3808,1008.15,West,drizzle,9.982,88
14.42222222,0.58,20.0123,1007.85,West,rain,15.8263,101
14.25555556,0.59,16.5025,1007.89,West,rain,14.9569,108
13.77222222,0.6,17.0982,1007.36,North,rain,15.8263,101
13.28333333,0.63,14.3612,1007.26,North,sun,15.8263,77
8.633333333,0.87,22.0409,1005.1,North,rain,6.6976,97
11.25,0.83,11.3344,1007.01,North,rain,15.8263,107
11.18333333,0.89,11.2056,1006.73,North,rain,9.9015,107
10.69444444,0.95,10.4006,1006.59,North,sun,6.6976,104
11.11111111,0.93,12.0106,1006.34,North,rain,5.9731,87
11.11111111,0.93,9.2092,1006.09,North,rain,10.8031,86
12.16666667,0.82,9.9015,1005.97,North,snow,10.6743,84
12.75555556,0.79,13.8299,1005.63,North,sun,10.8192,88
13.83888889,0.84,9.0965,1005.83,North,snow,10.8192,91
16.18333333,0.73,0.644,1005.97,North,snow,10.7548,93
17.51666667,0.67,0.6762,1005.64,North,sun,10.8997,101
17.38333333,0.67,3.864,1005.2,SW,rain,10.8514,110
17.36111111,0.71,7.8246,1005.1,North,sun,11.0768,92
17.20555556,0.74,15.5848,1004.65,North,rain,10.8514,114
15.63333333,0.81,23.6992,1004.04,SSW,rain,10.8836,95
13.57777778,0.9,20.9622,1004.08,North,snow,7.6153,77
10.91111111,0.86,22.3951,1004.61,West,sun,2.6565,84
8.8,0.99,26.5006,1004.99,WNW,sun,2.6565,123
8.961111111,0.93,23.2162,1004.85,North,rain,3.8157,150
8.2,0.96,25.4219,1004.96,North,rain,4.4919,147
7.688888889,0.96,28.1267,1005.14,North,rain,4.4436,62
7.766666667,0.96,19.2878,1005.05,North,snow,5.6833,27
8.2,0.96,20.447,1004.8,North,snow,3.1073,33
8.177777778,0.93,27.8691,1004.89,North,rain,3.2039,31
7.311111111,0.82,6.7459,1007,North,snow,14.0553,23
7.644444444,0.93,14.9086,1004.3,North,rain,6.118,10
6.622222222,0.93,25.0355,1003.68,North,snow,6.118,8
6.683333333,0.93,19.8352,1003.86,North,rain,6.1663,9
6.088888889,0.93,28.0945,1003.57,SW,rain,7.9695,4
6.066666667,0.93,27.9818,1003.96,West,rain,6.3434,8
6.144444444,0.93,30.8637,1004.1,WSW,rain,10.5455,9
7.133333333,0.8,32.1678,1004.26,WNW,rain,11.2056,12
7.205555556,0.86,26.5328,1004.18,NNE,sun,11.27,11
7.566666667,0.84,28.336,1004.23,NNE,sun,10.5455,12
8.9,0.77,29.8333,1004.47,WNW,rain,11.27,15
9.961111111,0.71,28.4809,1004.52,WNW,drizzle,11.27,13
9.888888889,0.71,28.5131,1004.29,NW,rain,11.0768,8
11.06666667,0.71,25.6956,1003.93,NW,rain,11.27,10
10.11666667,0.76,25.3414,1004,North,rain,11.27,12
11.03888889,0.66,21.413,1004.3,West,rain,9.982,23
10.65,0.7,17.8549,1004,North,rain,14.9086,29
10.05,0.7,15.1984,1004.39,North,rain,9.982,32
9.9,0.66,15.7297,1005.48,North,sun,11.0285,40
8.794444444,0.71,12.3648,1005.89,North,rain,9.982,56
7.827777778,0.72,13.8943,1006.37,North,sun,15.8263,71
7.855555556,0.72,9.8049,1006.56,North,snow,15.0052,76
7.316666667,0.75,6.6654,1007.07,North,rain,15.8746,82
7.244444444,0.75,7.1162,1007.37,North,sun,15.8746,93
5.438888889,0.88,3.7191,1012.23,North,sun,9.982,107
7.2,0.76,14.4739,1007.28,North,sun,15.8263,114
6.688888889,0.7,20.5275,1007.18,SW,rain,15.8263,125
6.211111111,0.73,19.3039,1007.39,North,rain,14.9569,138
6.111111111,0.76,17.4363,1007.67,West,rain,9.982,132
6.111111111,0.76,20.4148,1007.98,West,drizzle,9.982,129
6.172222222,0.76,17.0499,1008.57,West,sun,9.982,118
7.222222222,0.71,20.5114,1008.87,WNW,rain,9.982,117
7.288888889,0.73,17.6456,1009.44,WNW,rain,9.982,126
7.405555556,0.72,14.4095,1010.03,WNW,rain,9.982,133
7.961111111,0.7,10.7548,1010.22,WNW,rain,10.0464,138
8.033333333,0.7,4.8622,1010.39,NW,rain,10.0464,134
9.077777778,0.65,2.3828,1010.24,WNW,rain,10.0303,142
9.05,0.62,0.322,1010,North,sun,9.982,168
9.05,0.65,3.2522,1009.98,North,rain,11.2056,193
9.183333333,0.65,3.0107,1010.05,North,sun,11.0285,184
9.072222222,0.7,10.465,1010.1,North,rain,9.982,180
7.983333333,0.75,7.3416,1010.39,North,rain,9.982,185
8.072222222,0.75,9.5151,1010.91,North,rain,9.982,198
7.894444444,0.82,9.9981,1011.32,North,rain,9.982,202
7.311111111,0.83,13.685,1011.61,North,drizzle,11.9784,216
7.338888889,0.84,11.5437,1011.97,North,rain,14.168,214
6.622222222,0.85,12.719,1012.22,North,rain,14.9086,220
6.066666667,0.88,12.8961,1012.74,North,rain,14.9086,229
8.338888889,0.88,0.6923,1015.35,North,rain,15.0052,220
5.183333333,0.91,5.5384,1013.29,SW,rain,9.982,159
3.722222222,0.94,5.2003,1013.39,North,rain,9.982,149
4.855555556,0.93,5.6189,1013.45,WSW,sun,5.9248,186
5.211111111,0.92,4.7656,1013.4,WSW,sun,1.2236,187
6.255555556,0.92,7.9212,1013.81,WSW,sun,7.2128,186
7.794444444,0.87,9.7566,1014.7,West,sun,10.6743,193
10.05,0.76,9.6922,1014.67,West,rain,11.2056,194
12.2,0.66,14.49,1014.66,WNW,sun,9.982,181
12.7,0.63,20.3343,1014.8,North,sun,11.0285,177
13.93333333,0.58,23.5865,1014.47,North,sun,11.27,187
15.09444444,0.59,22.2985,1014.16,WNW,sun,11.27,192
15.15,0.5,14.7154,1014.07,North,sun,11.4471,209
